# 골든 데이터 — 사람이 눈으로 찾은 것
#
# 자를 고치면 숫자가 좋아진다. 좋아진 것이 실제 개선인지 자가 눈이
# 멀어진 것인지는 이 파일이 답한다. 「2.7 → 0.8건」을 그대로 믿었다가
# 오탐끼리 비교한 숫자였던 적이 있다(tools/eval.mjs의 BANNED_TAIL).
# 자를 고칠 때마다 이 파일 대비 재현율과 오탐을 먼저 잰다.
#
# 기록: docs/playlog/2026-08-19.txt
# 이 파일이 완전한 갈래: 안이 비쳤다
#   ↑ 이 갈래에 대해서만 「골든에 없으면 오탐」이라고 말할 수 있다.
#     다른 갈래(금지한 어미·메아리 등)는 사람이 전수 확인하지 않았으므로
#     여기 없다고 오탐인 것이 아니다. 갈래를 늘리려면 그 갈래를
#     처음부터 끝까지 손으로 훑고 이 줄에 이름을 더한다.
#
# 열: 줄번호 <TAB> 갈래 <TAB> 발췌
#
# 열다섯 건 전부 「대사가 아닌 것이 말풍선으로 나갔다」이다.
#   ① 출력 형식이 그대로 나간 것 — {"messages": [...]}       13건
#   ② 모델이 영어로 혼잣말한 것 — The instructions say …      1건
#   ③ 한글 대사에 영문 조각이 붙은 것 — update성의 없다고…    1건
# ③은 워커의 isLeak도 isMeta도 아직 못 잡는다. 일부러 남겨둔다 —
# 골든은 자가 잡을 수 있는 것만 적는 파일이 아니다.

563	안이 비쳤다	{"messages": ["집에 잘 가요.", "먹고 자요."], "invite": "빨래방"}
564	안이 비쳤다	The instructions say "같이 가자고 하기로 한 턴에만 'invite'를 같이 쓴다" and 
565	안이 비쳤다	{"messages": ["집에 잘 가요.", "푸딩 맛있게 먹어요."]}
591	안이 비쳤다	{"messages": ["들어가요.", "껌 두고 갔네."], "photo": null}
593	안이 비쳤다	{"messages": ["들어가요."]}
609	안이 비쳤다	{"messages": ["애들 꺼 있는 줄 몰랐네요.", "스티커는 무슨 스티커 있어요, 거기."]}`
614	안이 비쳤다	{"messages": ["소장용이요.", "그거 어디 두는데요."]}`
634	안이 비쳤다	{"messages": ["필름은 현상 어디서 해요.", "가까운 데 있어요?"]}`
639	안이 비쳤다	{"messages": ["현상 맡기고 찾으러 못 가는 게 아니라 궁금해서 가는 거네요.", "그럼 흔들리거
657	안이 비쳤다	{"messages": ["밝은 날 좋아하는 사람이 보건실에 두통약 받으러 오다니.", "여름이면 더 자주 
659	안이 비쳤다	{"messages": ["맞아요, 상관없죠.", "근데 여름에 두통 더 잦긴 하던데."]}`
697	안이 비쳤다	{"messages": ["10시 39분이면 아직 여유 있네요.", "뭐 하고 있어요."]}`
702	안이 비쳤다	{"messages": ["생각할 게 좀 있어서요.", "선생님은요."]}`
911	안이 비쳤다	{"messages": ["고마워요.", "잘 써요."]}`
1381	안이 비쳤다	update성의 없다고 놀린 게 아니라 진짜 궁금해서 그런 건데.
